Hour,kwh (raw)
5/30/2022 0:00,42
5/30/2022 1:00,44
5/30/2022 2:00,43.1
5/30/2022 3:00,84.8
5/30/2022 4:00,99.4
5/30/2022 5:00,100.8
5/30/2022 6:00,79.6
5/30/2022 7:00,81.9
5/30/2022 8:00,95
5/30/2022 9:00,109.9
5/30/2022 10:00,155.3
5/30/2022 11:00,135.6
5/30/2022 12:00,93.5
5/30/2022 13:00,88
5/30/2022 14:00,54.7
5/30/2022 15:00,42.8
5/30/2022 16:00,67.4
5/30/2022 17:00,70.7
5/30/2022 18:00,90.4
5/30/2022 19:00,99.2
5/30/2022 20:00,92.8
5/30/2022 21:00,86.4
5/30/2022 22:00,84.6
5/30/2022 23:00,71.1
5/31/2022 0:00,62.8
5/31/2022 1:00,59
5/31/2022 2:00,48.9
5/31/2022 3:00,83.4
5/31/2022 4:00,90.1
5/31/2022 5:00,92.6
5/31/2022 6:00,137.6
5/31/2022 7:00,130.3
5/31/2022 8:00,138.5
5/31/2022 9:00,168.1
5/31/2022 10:00,143.8
5/31/2022 11:00,153.1
5/31/2022 12:00,132.7
5/31/2022 13:00,115.3
5/31/2022 14:00,68.2
5/31/2022 15:00,81.7
5/31/2022 16:00,94.7
5/31/2022 17:00,99.9
5/31/2022 18:00,84.8
5/31/2022 19:00,91.6
5/31/2022 20:00,84.8
5/31/2022 21:00,76.3
5/31/2022 22:00,74.3
5/31/2022 23:00,82.5
6/1/2022 0:00,78.3
6/1/2022 1:00,74.8
6/1/2022 2:00,76.8
6/1/2022 3:00,84.3
6/1/2022 4:00,91.8
6/1/2022 5:00,79.2
6/1/2022 6:00,89
6/1/2022 7:00,93
6/1/2022 8:00,103.8
6/1/2022 9:00,116.7
6/1/2022 10:00,84.3
6/1/2022 11:00,97.3
6/1/2022 12:00,108.3
6/1/2022 13:00,101.8
6/1/2022 14:00,105.2
6/1/2022 15:00,70.3
6/1/2022 16:00,74.5
6/1/2022 17:00,90
6/1/2022 18:00,91.7
6/1/2022 19:00,92.8
6/1/2022 20:00,85.1
6/1/2022 21:00,74.4
6/1/2022 22:00,72.9
6/1/2022 23:00,63.6
6/2/2022 0:00,57.8
6/2/2022 1:00,58.7
6/2/2022 2:00,57.2
6/2/2022 3:00,82.7
6/2/2022 4:00,92.2
6/2/2022 5:00,106.7
6/2/2022 6:00,135.7
6/2/2022 7:00,137.6
6/2/2022 8:00,124.6
6/2/2022 9:00,114.5
6/2/2022 10:00,105.4
6/2/2022 11:00,96.8
6/2/2022 12:00,87
6/2/2022 13:00,89.2
6/2/2022 14:00,75.3
6/2/2022 15:00,61.1
6/2/2022 16:00,72
6/2/2022 17:00,60
6/2/2022 18:00,78.4
6/2/2022 19:00,85.1
6/2/2022 20:00,91
6/2/2022 21:00,75.5
6/2/2022 22:00,72.5
6/2/2022 23:00,76.4
6/3/2022 0:00,72.5
