datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2)
2022-05-30 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,7.17,3.24,0.00
2022-05-30 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,6.75,2.98,0.00
2022-05-30 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,6.71,2.78,0.00
2022-05-30 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,7.08,2.80,14.28
2022-05-30 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.36,3.76,81.12
2022-05-30 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.83,3.73,180.73
2022-05-30 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.99,3.80,302.36
2022-05-30 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.17,4.24,353.73
2022-05-30 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.90,4.19,508.68
2022-05-30 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.36,3.90,606.25
2022-05-30 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.47,3.58,614.86
2022-05-30 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.84,3.74,641.53
2022-05-30 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.24,3.53,676.56
2022-05-30 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.48,3.64,611.05
2022-05-30 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.33,3.87,499.52
2022-05-30 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.73,3.61,372.12
2022-05-30 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.17,3.36,275.12
2022-05-30 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.69,3.03,174.79
2022-05-30 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.02,2.33,106.13
2022-05-30 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.29,1.58,48.73
2022-05-30 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.14,1.22,5.34
2022-05-30 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.44,1.08,0.00
2022-05-30 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.12,1.23,0.00
2022-05-30 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.82,0.33,0.00
2022-05-31 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,7.66,0.85,0.00
2022-05-31 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.19,1.09,0.00
2022-05-31 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.41,1.30,0.00
2022-05-31 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.68,1.96,5.27
2022-05-31 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.87,2.03,23.97
2022-05-31 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.38,2.15,47.76
2022-05-31 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.52,2.64,62.33
2022-05-31 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.69,2.82,154.54
2022-05-31 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.08,2.88,230.17
2022-05-31 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.71,2.60,331.44
2022-05-31 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.73,3.08,445.11
2022-05-31 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.55,3.21,268.59
2022-05-31 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.10,2.95,166.35
2022-05-31 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.41,2.63,160.07
2022-05-31 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.99,3.05,110.47
2022-05-31 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.83,3.11,169.87
2022-05-31 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.56,3.00,295.27
2022-05-31 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.40,2.69,159.24
2022-05-31 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.82,2.48,83.69
2022-05-31 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.14,2.16,38.54
2022-05-31 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.12,2.23,6.22
2022-05-31 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.70,2.55,0.00
2022-05-31 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.69,2.97,0.00
2022-05-31 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.34,3.51,0.00
2022-06-01 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.04,3.53,0.00
2022-06-01 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.02,3.23,0.00
2022-06-01 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.84,3.26,0.00
2022-06-01 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.70,3.62,11.04
2022-06-01 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.22,3.70,54.89
2022-06-01 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.15,3.72,154.02
2022-06-01 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.33,3.02,293.19
2022-06-01 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.63,2.63,214.89
2022-06-01 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.04,2.63,500.61
2022-06-01 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.14,2.62,599.05
2022-06-01 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.12,2.49,694.53
2022-06-01 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.72,1.90,686.95
2022-06-01 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.00,1.25,646.47
2022-06-01 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.48,0.69,594.27
2022-06-01 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.92,1.61,438.33
2022-06-01 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.07,2.70,406.03
2022-06-01 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.48,2.14,338.10
2022-06-01 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.63,1.83,214.65
2022-06-01 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.57,1.38,143.48
2022-06-01 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.04,1.26,52.10
2022-06-01 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.26,0.48,8.03
